a.alumne1@sapalomera.cat,ESO,1,A,Cognom1 Cognom1,Nom1
a.alumne2@sapalomera.cat,ESO,1,C,Cognom2 Cognom2,Nom2
a.alumne3@sapalomera.cat,ESO,2,A,Cognom3 Cognom3,Nom3
a.alumne4@sapalomera.cat,ESO,2,A,Cognom4 Cognom4,Nom4
a.alumne5@sapalomera.cat,ESO,3,B,Cognom5 Cognom5,Nom5
a.alumne6@sapalomera.cat,ESO,4,A,Cognom6 Cognom6,Nom6
a.alumne7@sapalomera.cat,SMX,1,E,Cognom7 Cognom7,Nom7
a.alumne8@sapalomera.cat,SMX,2,B,Cognom8 Cognom8,Nom8
a.alumne9@sapalomera.cat,FPB,1,A,Cognom9,Nom9
a.alumne10@sapalomera.cat,BATX,2,A,Cognom10 Cognom10,Nom10
aprofesor@sapalomera.cat,BATX,1,A,Cognom11 Cognom11,Nom11
